Date,Key,CountryCode,CountryName,RegionCode,RegionName,Confirmed,Deaths,Latitude,Longitude,Population
2020-02-24,CN_QH,CN,China,QH,Qinghai,18.0,0.0,35,96,5626722
2020-03-08,CN_XJ,CN,China,XJ,Xinjiang,76.0,3.0,41,85,21815815
2020-03-16,CN_NX,CN,China,NX,Ningxia,75.0,0.0,36.6,105.32,6301350
2020-04-02,CN_GX,CN,China,GX,Guangxi,254.0,2.0,23.6,108.3,48380000
2020-04-10,CN_JX,CN,China,JX,Jiangxi,937.0,1.0,27.3,116.0,45200000
2020-04-14,CN_HA,CN,China,HA,Henan,1276.0,22.0,33.9,113.5,95590000
2020-04-17,CN_GS,CN,China,GS,Gansu,139.0,2.0,38,102,25575254
2020-04-18,CN_HN,CN,China,HN,Hunan,1019.0,4.0,28.11265,112.98338,67370000
2020-04-19,CN_GZ,CN,China,GZ,Guizhou,147.0,2.0,26.833,106.833,34746468
2020-04-24,CN_CQ,CN,China,CQ,Chongqing,579.0,6.0,30.057200,107.874000,30484300
2020-04-24,CN_SC,CN,China,SC,Sichuan,561.0,3.0,30.133,102.933,81100000
2020-04-25,CN_AH,CN,China,AH,Anhui,991.0,6.0,31.833,117.0,62000000
2020-05-05,CN_ZJ,CN,China,ZJ,Zhejiang,1268.0,1.0,29.2,120.5,57370000
2020-05-10,CN_HE,CN,China,HE,Hebei,328.0,6.0,39.3,116.7,74700500
2020-05-10,CN_YN,CN,China,YN,Yunnan,185.0,2.0,25.050,101.867,45966239
2020-05-11,CN_HB,CN,China,HB,Hubei,68134.0,4512.0,31.2,112.3,58500000
2020-05-11,CN_JS,CN,China,JS,Jiangsu,653.0,0.0,32.9,119.8,80400000
2020-05-13,CN_SX,CN,China,SX,Shanxi,198.0,0.0,37.7,112.4,36500000
2020-05-14,CN_GD,CN,China,GD,Guangdong,1589.0,8.0,23.4,113.5,113460000
2020-05-14,CN_LN,CN,China,LN,Liaoning,149.0,2.0,41.1,122.3,43900000
2020-05-14,CN_MO,CN,China,MO,Macau,45.0,0.0,22.167,113.550,622567
2020-05-14,CN_TJ,CN,China,TJ,Tianjin,191.0,3.0,39.133,117.183,15621200
2020-05-15,CN_FJ,CN,China,FJ,Fujian,356.0,1.0,26.078900,117.987400,38565000
2020-05-15,CN_TW,CN,China,TW,Taiwan,440.0,7.0,23.7,121.0,23580000
2020-05-16,CN_BJ,CN,China,BJ,Beijing,593.0,9.0,40.182400,116.414200,24000000
2020-05-16,CN_HI,CN,China,HI,Hainan,169.0,6.0,19.2,109.7,9257600
2020-05-16,CN_HK,CN,China,HK,Hong Kong,1052.0,4.0,22.3,114.2,7392000
2020-05-16,CN_HL,CN,China,HL,Heilongjiang,945.0,13.0,48,129,38312224
2020-05-16,CN_JL,CN,China,JL,Jilin,140.0,1.0,43.7,126.2,27462297
2020-05-16,CN_SD,CN,China,SD,Shandong,788.0,7.0,36.4,118.4,100472400
2020-05-16,CN_SH,CN,China,SH,Shanghai,665.0,7.0,31.22861,121.47472,24281400
2020-05-16,CN_SN,CN,China,SN,Shaanxi,308.0,3.0,35.6,108.4,37327378
